Metric,FaceNet,ResNet50
Accuracy,0.9879410451094238,0.017857142857142856
Precision (Macro),0.9882202501810947,0.0004578754578754579
Recall (Macro),0.9849766461608567,0.02564102564102564
F1-Score (Macro),0.9861208378229067,0.0008996851102114259
Precision (Weighted),0.9882893953908874,0.00031887755102040814
Recall (Weighted),0.9879410451094238,0.017857142857142856
F1-Score (Weighted),0.9878343751447218,0.0006265664160401002
